audio,Reference,Base_Pred,LoRA_Pred,Base_CER,LoRA_CER,Improved
datasets/Sample/01.원천데이터/SPK014/SPK014KBSIN034/SPK014KBSIN034F003.wav,이 기간 동안 도전자들은 전자 투표 시스템을 합법적으로 공격할 수 있습니다,이 기간 동안 도전자들은 전자투표 시스템을 합법적으로 공격할 수 있습니다,이 기간 동안 도전자들은 전자 투표 시스템을 합법적으로 공격할 수 있습니다,0.0,0.0,False
datasets/Sample/01.원천데이터/SPK014/SPK014KBSIN034/SPK014KBSIN034F001.wav,스위스 연방 정부가 새로운 전자 투표 시스템 성능을 시험하기 위해 해킹 대회를 열었습니다,스위스 연방정부가 새로운 전자투표 시스템 성능을 시험하기 위해 해킹대회를 열었습니다,스위스 연방 정부가 새로운 전자 투표 시스템 성능을 시험하기 위해 해킹 대회를 열었습니다,0.0,0.0,False
datasets/Sample/01.원천데이터/SPK014/SPK014KBSIN034/SPK014KBSIN034F002.wav,이 월 마지막 주에 시작된 이번 대회는 약 한 달간 계속되는데요,2월 마지막 주에 시작된 이번 대회는 약 한 달간 계속되는데요,이월 마지막 주에 시작된 이번 대회는 약 한 달간 계속되는데요,0.04,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSIN034/SPK014KBSIN034F005.wav,전자 투표 시스템 취약점을 찾고 보안 강화를 위해 마련된 이 대회에는 총 십 오 만 스위스 프랑 우리 돈 일 억 육 천만 원의 상금도 걸려있습니다,전자투표 시스템 취약점을 찾고 보안 강화를 위해 마련된 이 대회에는 총 15만 스위스프랑 우리 돈 1억 6천만 원의 상금도 걸려 있습니다,전자투표 시스템 취약점을 찾고 보안 강화를 위해 마련된 이 대회에는 총 십 오만 스위스 프랑 우리 돈 일 억 육 천만 원의 상금도 걸려 있습니다,0.0714,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSIN034/SPK014KBSIN034F006.wav,스위스 정부는 특히 투표 수 조작에 성공한 사람은 최고 수준의 해킹으로 인정하고 우리 돈 약 오천 육백 만 원의 상금을 준다고 밝혔습니다,스위스 정부는 특히 투표수 조작에 성공한 사람은 최고 수준의 해킹으로 인정하고 우리 돈 약 5600만 원의 상금을 준다고 밝혔습니다,스위스 정부는 특히 투표 수 조작에 성공한 사람은 최고 수준의 해킹으로 인정하고 우리 돈 약 오천 육백 만 원의 상금을 준다고 밝혔습니다,0.0727,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSIN034/SPK014KBSIN034F004.wav,전 세계 약 이천 사백 명의 아이 티 보안전문가와 해커들이 도전했는데요,전 세계 약 2400명의 IT 보안 전문가와 해커들이 도전했는데요,전 세계 약 이천 사백 명의 아이 티 보안 전문가와 해커들이 도전했는데요,0.2414,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSCU008/SPK014KBSCU008F005.wav,이후 백 여 편의 영화와 드라마에 출연하며 배우로 전성기를 누릴 때도 가수의 꿈을 놓지 않았다고 합니다,이후 백여편의 영화와 드라마에 출연하며 배우로 전성기를 누릴 때도 가수의 꿈을 놓지 않았다고 합니다,이후 백 여 편의 영화와 드라마에 출연하며 배우로 전성기를 누릴 때도 가수의 꿈을 놓지 않았다고 합니다,0.0,0.0,False
datasets/Sample/01.원천데이터/SPK014/SPK014KBSCU008/SPK014KBSCU008F004.wav,천 구백 칠십 칠 년 영화 배우로 데뷔한 이영하 씨는 데뷔 전 미 팔 군 부대에서 그룹사운드 멤버로 활동했을 만큼 음악에 남다른 애착을 보였다고 하는데요,1977년 영화 배우로 데뷔한 이영아 씨는 데뷔 전 미 8군 부대에서 그룹 사운드 멤버로 활동했을 만큼 음악의 남다른 애착을 보였다고 하는데요,천 구백 칠십 칠 년 영화 배우로 데뷔한 이영하 씨는 데뷔 전 미 팔 군 부대에서 그룹사운드 멤버로 활동했을 만큼 음악에 남다른 애착을 보였다고 하는데요,0.1475,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSCU008/SPK014KBSCU008F002.wav,육십 대 후반의 나이지만 제 이 의 인생에 도전하며 나이는 숫자에 불과하다는 걸 보여주고 있습니다,60대 후반의 나이지만 제 2의 인생에 도전하며 나인의 숫자에 불과하다는 걸 보여주고 있습니다,육십 대 후반의 나이지만 제 이 의 인생에 도전하며 나이는 숫자에 불과하다는 걸 보여주고 있습니다,0.125,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSCU008/SPK014KBSCU008F006.wav,이영하 씨의 데뷔곡이 된 이번 노래 사랑 중 이별이는 잔잔한 발라드풍 가요로 중장년층이 공감할만 한 삶의 굴곡을 노랫말에 담고 있습니다,이영아 씨의 데뷔곡이 된 이번 노래 사랑중 이별이는 잔잔한 발라드 풍가위로 중장년층이 공감할 만한 삶의 굴곡을 노랫말에 담고 있습니다,이영하 씨의 데뷔곡이 된 이번 노래 사랑 중 이별이는 잔잔한 발라드풍 가요로 중장년층이 공감할만 한 삶의 굴곡을 노랫말에 담고 있습니다,0.0357,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSCU008/SPK014KBSCU008F003.wav,이영하 씨는 소속사를 통해 최근 사랑 중 이별이라는 제목의 음반을 발표하고 본격적인 가수 활동을 시작한다고 알렸습니다,이영아 씨는 소속사를 통해 최근 사랑 중 이별이라는 제목의 음반을 발표하고 본격적인 가수 활동을 시작한다고 알렸습니다,이영하 씨는 소속사를 통해 최근 사랑 중 이별이라는 제목의 음반을 발표하고 본격적인 가수 활동을 시작한다고 알렸습니다,0.02,0.0,True
datasets/Sample/01.원천데이터/SPK014/SPK014KBSCU008/SPK014KBSCU008F001.wav,중견 배우 이영하 씨가 가수로서 출사표를 던졌습니다,중견배우 이영아 씨가 가수로서 출사표를 던졌습니다,중견 배우 이영하 씨가 가수로서 출사표를 던졌습니다,0.0455,0.0,True
